SERIES;PRODUCCIÓN DE TURISMOS;EXPORTACIONES DE TURISMOS;MATRICULACIONES DE TURISMOS.  TOTAL
200602;179630,0000000000000000;143043,0000000000000000;128836,0000000000000000
200603;199222,0000000000000000;154881,0000000000000000;176081,0000000000000000
200604;146670,0000000000000000;119999,0000000000000000;131631,0000000000000000
200605;216180,0000000000000000;169581,0000000000000000;155805,0000000000000000
200606;206561,0000000000000000;169982,0000000000000000;171032,0000000000000000
200607;148258,0000000000000000;126333,0000000000000000;169034,0000000000000000
200608;66778,0000000000000000;59302,0000000000000000;105189,0000000000000000
200609;195902,0000000000000000;158659,0000000000000000;107511,0000000000000000
200610;195574,0000000000000000;160209,0000000000000000;128178,0000000000000000
200611;217543,0000000000000000;177292,0000000000000000;135142,0000000000000000
200612;134732,0000000000000000;112996,0000000000000000;136723,0000000000000000
200701;192174,0000000000000000;156809,0000000000000000;125985,0000000000000000
200702;200789,0000000000000000;160032,0000000000000000;123327,0000000000000000
200703;203590,0000000000000000;168747,0000000000000000;175327,0000000000000000
200704;169513,0000000000000000;132944,0000000000000000;123825,0000000000000000
200705;227120,0000000000000000;178702,0000000000000000;155402,0000000000000000
200706;211166,0000000000000000;175146,0000000000000000;167880,0000000000000000
200707;180491,0000000000000000;153418,0000000000000000;168613,0000000000000000
200708;83026,0000000000000000;72473,0000000000000000;100791,0000000000000000
200709;205244,0000000000000000;169102,0000000000000000;98670,0000000000000000
200710;211325,0000000000000000;175310,0000000000000000;130446,0000000000000000
200711;201840,0000000000000000;167109,0000000000000000;125388,0000000000000000
200712;109502,0000000000000000;94095,0000000000000000;138140,0000000000000000
200801;197666,0000000000000000;158184,0000000000000000;104953,0000000000000000
200802;206516,0000000000000000;169213,0000000000000000;124836,0000000000000000
200803;169020,0000000000000000;143080,0000000000000000;126357,0000000000000000
200804;219628,0000000000000000;179564,0000000000000000;125522,0000000000000000
200805;201899,0000000000000000;164579,0000000000000000;118085,0000000000000000
200806;179380,0000000000000000;158376,0000000000000000;116649,0000000000000000
200807;189788,0000000000000000;164849,0000000000000000;123958,0000000000000000
200808;41123,0000000000000000;40370,0000000000000000;60737,0000000000000000
200809;181273,0000000000000000;158370,0000000000000000;67365,0000000000000000
200810;157794,0000000000000000;139523,0000000000000000;79686,0000000000000000
200811;131742,0000000000000000;121576,0000000000000000;64345,0000000000000000
200812;67270,0000000000000000;57470,0000000000000000;72760,0000000000000000
200901;98842,0000000000000000;83270,0000000000000000;60662,0000000000000000
200902;117685,0000000000000000;105386,0000000000000000;63297,0000000000000000
200903;161022,0000000000000000;145129,0000000000000000;77102,0000000000000000
200904;157579,0000000000000000;137174,0000000000000000;67828,0000000000000000
200905;154441,0000000000000000;134400,0000000000000000;72303,0000000000000000
200906;165169,0000000000000000;145976,0000000000000000;98296,0000000000000000
200907;174486,0000000000000000;154789,0000000000000000;110678,0000000000000000
200908;74902,0000000000000000;62362,0000000000000000;60398,0000000000000000
200909;203193,0000000000000000;166047,0000000000000000;79323,0000000000000000
200910;184127,0000000000000000;155294,0000000000000000;100733,0000000000000000
200911;183817,0000000000000000;151185,0000000000000000;88485,0000000000000000
200912;137425,0000000000000000;116323,0000000000000000;92085,0000000000000000
201001;164697,0000000000000000;135395,0000000000000000;71260,0000000000000000
201002;182945,0000000000000000;156270,0000000000000000;93070,0000000000000000
201003;197949,0000000000000000;166165,0000000000000000;126654,0000000000000000
201004;154575,0000000000000000;125375,0000000000000000;95415,0000000000000000
201005;181787,0000000000000000;148484,0000000000000000;104497,0000000000000000
201006;200212,0000000000000000;170264,0000000000000000;122610,0000000000000000
201007;165587,0000000000000000;145458,0000000000000000;83840,0000000000000000
201008;40600,0000000000000000;40848,0000000000000000;46572,0000000000000000
201009;174614,0000000000000000;155851,0000000000000000;57875,0000000000000000
201010;161640,0000000000000000;149722,0000000000000000;62592,0000000000000000
201011;175886,0000000000000000;159808,0000000000000000;65706,0000000000000000
201012;113020,0000000000000000;104704,0000000000000000;69964,0000000000000000
201101;150508,0000000000000000;132613,0000000000000000;54416,0000000000000000
201102;175226,0000000000000000;153125,0000000000000000;67028,0000000000000000
201103;199879,0000000000000000;179189,0000000000000000;88947,0000000000000000
201104;147773,0000000000000000;132391,0000000000000000;72413,0000000000000000
201105;178659,0000000000000000;155665,0000000000000000;79317,0000000000000000
201106;196237,0000000000000000;180577,0000000000000000;84004,0000000000000000
201107;155225,0000000000000000;138977,0000000000000000;79591,0000000000000000
201108;50458,0000000000000000;51005,0000000000000000;48262,0000000000000000
201109;183239,0000000000000000;169058,0000000000000000;56326,0000000000000000
201110;146901,0000000000000000;134777,0000000000000000;58366,0000000000000000
201111;159756,0000000000000000;144555,0000000000000000;52734,0000000000000000
201112;75592,0000000000000000;70646,0000000000000000;66886,0000000000000000
201201;121768,0000000000000000;100265,0000000000000000;55447,0000000000000000
201202;166944,0000000000000000;140281,0000000000000000;65202,0000000000000000
201203;151428,0000000000000000;126358,0000000000000000;85059,0000000000000000
201204;117454,0000000000000000;98772,0000000000000000;56859,0000000000000000
201205;161142,0000000000000000;135489,0000000000000000;73520,0000000000000000
201206;141063,0000000000000000;124077,0000000000000000;74191,0000000000000000
201207;137167,0000000000000000;117925,0000000000000000;66249,0000000000000000
201208;45113,0000000000000000;44983,0000000000000000;50351,0000000000000000
201209;119749,0000000000000000;104534,0000000000000000;36309,0000000000000000
201210;140188,0000000000000000;125028,0000000000000000;46178,0000000000000000
201211;145333,0000000000000000;125796,0000000000000000;49157,0000000000000000
201212;92255,0000000000000000;83269,0000000000000000;52044,0000000000000000
201301;138066,0000000000000000;113160,0000000000000000;50753,0000000000000000
201302;165525,0000000000000000;140145,0000000000000000;59438,0000000000000000
201303;139544,0000000000000000;122344,0000000000000000;73904,0000000000000000
201304;149456,0000000000000000;127046,0000000000000000;63753,0000000000000000
201305;175692,0000000000000000;149459,0000000000000000;71887,0000000000000000
201306;159561,0000000000000000;136871,0000000000000000;74479,0000000000000000
201307;168265,0000000000000000;145577,0000000000000000;77436,0000000000000000
201308;51884,0000000000000000;51731,0000000000000000;41700,0000000000000000
